,Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,11.35135135135136,3.3980582524271807,7.04225352112676,-7.017543859649129,10.377358490566035,-0.4273504273504183,1.2875536480686725,-8.47457627118644,12.037037037037026,0.0,0.0,9.504132231404961,8.301886792452828,6.968641114982579,10.097719869706832,8.579881656804751,-0.5449591280654028,5.47945205479452,2.5974025974025974,-5.569620253164564,2.680965147453083,8.877284595300276,10.311750599520376,-4.565217391304351,-6.83371298405467,10.513447432762847,7.964601769911491,5.122950819672131,3.50877192982457,-5.0847457627118695,4.761904761904759,-7.386363636363635,7.975460122699384,9.46969696969697,3.28719723183392,-0.1675041876046925,7.382550335570468,7.03125,1.167883211678828,-1.2987012987012865,-1.6081871345029364,3.4175334323922693,4.0229885057471435,6.491712707182304,4.150453955901431,3.237858032378591,6.0313630880579,4.778156996587017,5.537459283387632,6.172839506172839,-4.069767441860468,1.0101010101010102,5.0,6.476190476190474,2.325581395348845,4.89510489510489,3.250000000000005,-2.9055690072639293,-7.6475477971737345,5.310531053105316,0.3418803418803467,0.6814310051107301,1.4382402707275828,3.2527105921601263
1,France,9.493670886075948,-0.578034682080933,0.5813953488372176,6.358381502890161,3.804347826086972,6.282722513089001,7.881773399014767,3.1963470319634837,1.3274336283185715,9.170305676855902,6.0,6.792452830188681,10.247349823321551,6.089743589743597,6.344410876132935,7.102272727272727,3.713527851458882,5.882352941176463,9.178743961352668,9.070796460176979,7.099391480730223,1.1363636363636391,5.992509363295886,7.950530035335689,-3.2733224222585924,6.260575296108283,3.662420382165601,1.2288786482335046,2.124430955993917,0.0,-1.0401188707280875,-0.15015015015014163,1.804511278195493,0.0,1.4771048744460855,-0.43668122270741944,0.2923976608186968,4.373177842565598,4.329608938547498,3.614457831325305,0.0,0.6459948320413437,-1.925545571245186,3.272251308900523,4.182509505703418,1.0948905109488947,4.21179302045728,5.196304849884527,3.73216245883645,4.867724867724862,1.0090817356205852,-0.09990009990009423,2.5999999999999943,2.144249512670568,1.8129770992366467,2.7179006560449777,2.0072992700729952,-3.220035778175308,-6.654343807763403,2.376237623762382,3.965183752417789,0.7441860465116252,-0.8310249307479146,0.18621973929235439
2,Germany,15.328467153284683,12.658227848101266,11.235955056179774,12.121212121212114,17.11711711711712,8.076923076923082,6.761565836298927,5.333333333333338,9.493670886075948,13.294797687861275,6.122448979591833,4.8076923076923075,2.0642201834862353,8.539325842696623,7.66045548654245,1.538461538461533,-2.272727272727265,10.465116279069765,11.754385964912284,5.023547880690742,-0.7473841554559043,2.861445783132517,5.856515373352855,0.9681881051175697,-4.383561643835621,6.446991404011461,3.2301480484522287,0.5215123859191545,4.669260700389117,0.12391573729862988,-1.3613861386138544,-2.2584692597239613,0.7702182284980671,3.4394904458598763,4.556650246305422,-0.11778563015313136,-1.533018867924525,3.95209580838323,5.299539170506923,4.266958424507649,3.777544596012601,-2.83114256825077,-7.700312174817889,3.1567080045095794,-0.6557377049180265,-2.8602860286028693,4.077010192525491,0.9793253536452573,1.0775862068965518,7.35607675906184,1.3902681231380252,-2.0568070519098867,1.0,3.7623762376237595,1.6221374045801553,8.356807511737095,4.4194107452339635,-2.24066390041494,-19.354838709677416,18.631578947368425,8.873114463176575,-0.40749796251018744,0.2454991816693921,2.2040816326530637
3,Italy,13.253012048192767,4.255319148936174,8.163265306122437,10.377358490566035,9.401709401709414,7.8125,6.521739130434772,2.040816326530617,10.666666666666677,13.253012048192767,10.106382978723396,10.628019323671495,6.550218340611354,1.2295081967213144,5.263157894736844,9.230769230769225,9.859154929577468,9.294871794871803,6.451612903225794,7.98898071625346,1.0204081632653024,6.818181818181807,13.475177304964545,7.708333333333339,-5.222437137330759,14.693877551020412,4.626334519572944,3.741496598639461,9.50819672131147,6.586826347305398,-2.1067415730337076,-1.291248206599721,0.1453488372093147,3.3381712626995603,3.3707865168539204,2.1739130434782727,3.723404255319145,6.66666666666667,4.567307692307689,1.1494252873563218,0.0,-0.2272727272727305,-2.277904328018223,6.643356643356646,4.808743169398913,-0.729927007299273,0.8403361344537785,1.2500000000000029,0.10288065843620814,3.5971223021582737,-0.5952380952380896,-0.19960079840319644,-1.9000000000000057,1.8348623853211126,0.4004004004003918,4.586241276171494,3.050524308865575,-3.2377428307123037,-17.68642447418738,8.826945412311277,2.0277481323372375,-3.451882845188282,-2.0585048754062747,-0.44247787610620093
4,Japan,40.9090909090909,6.451612903225797,24.24242424242424,9.756097560975618,8.888888888888896,22.44897959183673,18.33333333333333,-1.4084507042253471,21.428571428571427,24.705882352941174,19.81132075471698,8.661417322834657,11.594202898550723,16.23376623376622,3.910614525139681,13.440860215053762,19.905213270142177,15.415019762845844,16.438356164383563,13.823529411764714,4.909560723514208,8.866995073891628,12.669683257918539,-2.6104417670682674,-5.154639175257732,8.695652173913043,3.200000000000003,2.9069767441860463,8.662900188323919,3.4662045060658575,3.685092127303175,2.584814216478193,1.8897637795275635,5.255023183925798,10.132158590308379,-0.5333333333333409,3.6193029490616664,8.020698576972837,6.46706586826348,7.424071991001118,5.445026178010473,-1.9860973187686195,-3.343465045592702,-1.362683438155148,4.46333687566419,3.865717192268563,2.742409402546534,-5.243088655862726,0.30181086519114403,5.7171514543630915,-3.605313092979138,-1.5748031496062938,4.700000000000003,5.730659025787966,4.336043360433601,4.761904761904762,6.033057851239679,0.7794232268121589,-17.710750193348805,19.548872180451124,-2.5157232704402537,2.25806451612903,0.15772870662460792,1.968503937007874
5,South Korea,,,,0.0,33.33333333333335,0.0,0.0,24.999999999999993,0.0,19.999999999999996,0.0,16.666666666666664,14.285714285714299,12.499999999999996,22.22222222222223,18.181818181818176,23.07692307692308,24.999999999999993,14.999999999999991,17.391304347826104,18.51851851851852,12.499999999999996,30.555555555555557,17.021276595744677,12.72727272727273,20.967741935483865,15.999999999999991,25.287356321839095,10.091743119266052,-1.6666666666666607,9.322033898305081,4.651162790697671,17.03703703703704,19.620253164556946,6.878306878306882,15.84158415841584,20.0854700854701,13.167259786476865,4.402515723270447,11.445783132530112,12.432432432432435,6.009615384615384,6.802721088435374,11.46496815286624,12.952380952380947,8.431703204047217,5.598755832037338,-7.511045655375564,21.178343949044585,16.4257555847569,3.273137697516937,9.289617486338798,5.0,9.714285714285717,5.815972222222224,7.711238720262514,8.45392231530845,3.7219101123595384,-0.4739336492890919,13.605442176870747,6.586826347305389,2.3595505617977466,3.238199780461035,3.9872408293460926
6,Taiwan,,,,,,,,,,,,10.526315789473694,14.285714285714276,25.000000000000004,13.33333333333333,17.647058823529413,17.500000000000004,19.148936170212753,23.214285714285726,20.289855072463773,22.891566265060224,22.549019607843146,16.799999999999997,-5.479452054794513,5.797101449275353,22.60273972602739,14.525139664804477,21.463414634146336,7.228915662650605,10.112359550561797,17.006802721088437,2.6162790697674376,14.164305949008499,14.143920595533505,0.0,15.652173913043484,10.15037593984962,1.706484641638225,2.5167785234899327,-2.94599018003274,5.227655986509277,2.8846153846153917,1.8691588785046773,5.504587155963294,5.362318840579714,4.676753782668489,6.307490144546665,2.3485784919653785,7.367149758454118,8.098987626546668,-6.867845993756498,11.731843575418994,10.099999999999994,10.354223433242511,7.818930041152264,9.083969465648858,9.79706088173548,0.7010834926704871,-3.4177215189873453,22.280471821756226,6.85959271168275,3.7111334002006044,1.547388781431329,6.333333333333338
7,United Kingdom,2.863436123348027,-4.925053533190587,7.2072072072072135,5.2521008403361344,6.387225548902187,-0.18761726078798185,2.2556390977443526,-0.9191176470588236,5.936920222634514,8.056042031523644,0.16207455429496648,0.16181229773463013,3.554119547657505,9.204368174727,2.857142857142857,1.6666666666666705,0.5464480874316823,7.744565217391308,3.6569987389659593,0.4866180048661697,-1.2106537530266344,2.2058823529411904,9.352517985611508,-1.3157894736842135,-6.888888888888891,1.9093078758949984,1.8735362997658012,0.5747126436781609,-0.2285714285714318,-8.705612829324163,-6.148055207026355,0.0,2.139037433155092,3.6649214659685825,2.7777777777777812,1.3513513513513442,4.727272727272734,7.291666666666663,3.9913700107874894,-0.10373443983403373,-5.088265835929379,0.0,1.422319474835883,4.746494066882407,1.4418125643666382,0.8121827411167484,1.7119838872104762,0.39603960396040166,0.49309664694280075,2.3552502453385586,-1.629913710450626,-2.5341130604288447,-0.5999999999999943,1.9114688128772548,0.0,2.171767028627841,0.6763285024154617,-2.8790786948176583,-9.387351778656127,4.689203925845144,1.8749999999999971,-1.3292433537832282,0.0,2.2797927461139924
